cost,Area,type,no.of bed,Bathrooms,Location
"420,000 AED",442 sqft,Apartment,Studio,1,"AZIZI Roy Mediterranean, Al Furjan, Dubai"
"2,670,000 AED","3,196 sqft",Villa,4,3,"Casa, Arabian Ranches 2, Dubai"
"1,113,000 AED","1,465 sqft",Apartment,2,3,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"4,400,000 AED","8,267 sqft",Villa,4,4,"Mirador, Arabian Ranches, Dubai"
"525,000 AED","1,042 sqft",Apartment,2,2,"Dana Tower, Jumeirah Village Circle, Dubai"
"36,499,000 AED","10,100 sqft",Apartment,4,5,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"155,000 AED","1,722 sqft",Land,,,"Al Zaheya Gardens, Al Zahya, Ajman"
"2,850,000 AED","1,736 sqft",Duplex,2,2,"Murjan 1, Murjan, Jumeirah Beach Residence, Dubai"
"2,250,000 AED","1,378 sqft",Apartment,1,2,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai"
"3,350,000 AED","3,523 sqft",Villa,4,5,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"1,900,000 AED","2,200 sqft",Apartment,3,3,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,349,999 AED","2,998 sqft",Villa,3,4,"Al Reem 1, Al Reem, Arabian Ranches, Dubai"
"1,075,000 AED",844 sqft,Apartment,1,1,"Acacia, Park Heights, Dubai Hills Estate, Dubai"
"2,550,000 AED","1,624 sqft",Apartment,2,4,"Building 12, City Walk, Dubai"
"3,650,000 AED","4,920 sqft",Villa,5,6,"Gallery Villas, Victory Heights, Dubai Sports City, Dubai"
"624,000 AED",651 sqft,Apartment,1,1,"Bloom Towers, Jumeirah Village Circle, Dubai"
"3,700,000 AED","4,847 sqft",Villa,5,5,"Al Mahra, Arabian Ranches, Dubai"
"4,000,000 AED","3,875 sqft",Villa,5,5,"Lila, Arabian Ranches 2, Dubai"
"260,000 AED",401 sqft,Apartment,Studio,1,"Al Thamam 43, Al Thamam, Remraam, Dubai"
"750,000 AED",758 sqft,Apartment,1,2,"MBL Residences, Jumeirah Lake Towers, Dubai"
"499,000 AED","1,028 sqft",Apartment,2,2,"Marina Apartments, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah"
"3,799,999 AED","4,700 sqft",Villa,4,5,"The Centro, The Villa, Dubai"
"820,000 AED",967 sqft,Apartment,2,3,"Mangrove Place, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"425,999 AED",478 sqft,Apartment,Studio,1,"Arabian Gate, Dubai Silicon Oasis, Dubai"
"699,950 AED",591 sqft,Apartment,1,1,"Studio One, Dubai Marina, Dubai"
"3,399,900 AED","3,900 sqft",Villa,5,5,"The Aldea, The Villa, Dubai"
"740,000 AED",738 sqft,Apartment,Studio,1,"Executive Tower J, Executive Towers, Business Bay, Dubai"
"3,400,000 AED",720 sqft,Villa,3,3,"Savannah 1, Savannah, Arabian Ranches, Dubai"
"1,630,000 AED","1,600 sqft",Apartment,3,3,"Janayen Avenue, Mirdif Hills, Mirdif, Dubai"
"1,390,000 AED","1,307 sqft",Apartment,2,3,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"1,150,000 AED",900 sqft,Apartment,2,2,"Aykon City, Business Bay, Dubai"
"999,000 AED","1,574 sqft",Apartment,2,3,"Plaza Residences, Jumeirah Village Circle, Dubai"
"220,000 AED",484 sqft,Apartment,Studio,1,"England Cluster, International City, Dubai"
"19,000,000 AED","4,936 sqft",Penthouse,3,4,"Palme Couture, Palm Jumeirah, Dubai"
"1,300,000 AED","3,400 sqft",Villa,5,7+,"Al Mwaihat 3, Al Mwaihat, Ajman"
"2,000,000 AED","1,293 sqft",Apartment,2,3,"Damac Heights, Dubai Marina, Dubai"
"620,000 AED",634 sqft,Apartment,Studio,1,"The Royal Oceanic, Oceanic, Dubai Marina, Dubai"
"3,400,000 AED","3,527 sqft",Villa,3,3,"Legacy, Jumeirah Park, Dubai"
"5,215,888 AED","11,453 sqft",Land,,,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"1,600,000 AED",873 sqft,Apartment,1,2,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai"
"2,450,000 AED","2,700 sqft",Townhouse,5,5,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"4,575,000 AED","3,361 sqft",Villa,4,4,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
"2,250,000 AED","1,378 sqft",Apartment,1,2,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai"
"3,350,000 AED","3,523 sqft",Villa,4,5,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"1,500,000 AED",830 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"900,000 AED",980 sqft,Apartment,1,2,"Ubora Tower 1, Ubora Towers, Business Bay, Dubai"
"1,270,000 AED",900 sqft,Apartment,1,2,"Dubai Creek Residence Tower 1 North, Dubai Creek Harbour (The Lagoons), Dubai"
"6,130,816 AED","4,946 sqft",Villa,4,5,"Marbella, Mina Al Arab, Ras Al Khaimah"
"1,700,000 AED","2,565 sqft",Villa,3,3,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"818,650 AED",886 sqft,Apartment,1,2,"Gateway Residences, Mina Al Arab, Ras Al Khaimah"
"649,888 AED",350 sqft,Apartment,Studio,1,"Seven Palm, Palm Jumeirah, Dubai"
"3,300,000 AED","1,598 sqft",Apartment,3,4,"Forte 1, Forte, Downtown Dubai, Dubai"
"795,000 AED","6,458 sqft",Land,,,"Phase 3, Al Furjan, Dubai"
"6,500,000 AED","138,750 sqft",Villa,7+,7+,"Mohamed Bin Zayed Centre, Mohamed Bin Zayed City, Abu Dhabi"
"4,300,000 AED","12,000 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"8,000,000 AED","277,500 sqft",Compound,6,7+,"Mohamed Bin Zayed Centre, Mohamed Bin Zayed City, Abu Dhabi"
"2,800,000 AED","3,600 sqft",Villa,4,5,"The Centro, The Villa, Dubai"
"2,851,000 AED","2,704 sqft",Apartment,4,5,"Janayen Avenue, Mirdif Hills, Mirdif, Dubai"
"10,500,000 AED","15,000 sqft",Compound,7+,7+,"Al Bateen Villas, Al Bateen, Abu Dhabi"
"500,000 AED",970 sqft,Apartment,1,2,"Plaza Residences, Jumeirah Village Circle, Dubai"
"13,900,000 AED","8,286 sqft",Villa,6,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"1,600,000 AED","2,380 sqft",Duplex,3,3,"Cluster C, Jumeirah Heights, Dubai"
"460,000 AED",809 sqft,Apartment,Studio,1,"Sherlock Circus 1, Sherlock Circus, Motor City, Dubai"
"3,999,999 AED","1,771 sqft",Apartment,2,3,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai"
"1,640,000 AED",640 sqft,Apartment,1,1,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,000,000 AED",881 sqft,Apartment,1,2,"Dubai Creek Residence Tower 2 North, Dubai Creek Harbour (The Lagoons), Dubai"
"4,650,000 AED","6,057 sqft",Villa,5,5,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"5,140,000 AED","1,905 sqft",Apartment,3,4,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"2,800,000 AED","4,200 sqft",Villa,4,5,"Bungalows Area, Green Community West, Green Community, Dubai"
"12,700,000 AED","6,400 sqft",Villa,4,6,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"1,450,000 AED","1,794 sqft",Villa,2,2,"Springs 15, The Springs, Dubai"
"374,999 AED",652 sqft,Apartment,1,2,"Axis Residence 5, Axis Residence, Dubai Silicon Oasis, Dubai"
"8,400,000 AED","7,047 sqft",Penthouse,5,5,"Vida Residence 4, Vida Residence, The Hills, Dubai"
Ask for price,"2,530 sqft",Apartment,3,4,"DT1, Downtown Dubai, Dubai"
"6,000,000 AED","5,644 sqft",Penthouse,4,5,"23 Marina, Dubai Marina, Dubai"
"1,650,000 AED","1,565 sqft",Apartment,2,3,"Sun Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,100,000 AED",664 sqft,Apartment,1,2,"Merano Tower, Business Bay, Dubai"
"555,000 AED",740 sqft,Apartment,1,2,"Sulafa Tower, Dubai Marina, Dubai"
"815,000 AED",773 sqft,Apartment,1,2,"J5, Al Sufouh 2, Al Sufouh, Dubai"
"2,400,000 AED","1,782 sqft",Apartment,2,3,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai"
"3,200,000 AED","1,388 sqft",Apartment,2,3,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,400,000 AED",616 sqft,Apartment,1,1,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"3,100,000 AED","1,639 sqft",Apartment,2,3,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai"
"2,425,000 AED","1,784 sqft",Apartment,3,3,"C1, The Hills C, The Hills, Dubai"
"700,000 AED",693 sqft,Apartment,1,2,"Bay Central West, Bay Central, Dubai Marina, Dubai"
"2,000,000 AED","2,043 sqft",Apartment,3,3,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"2,950,000 AED","2,260 sqft",Apartment,3,4,"Al Msalli, Shoreline Apartments, Palm Jumeirah, Dubai"
"3,650,000 AED","1,435 sqft",Apartment,2,2,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"3,950,000 AED","4,053 sqft",Apartment,3,5,"Marina Residences 3, Marina Residences, Palm Jumeirah, Dubai"
"4,410,000 AED","5,126 sqft",Villa,5,5,"Samara, Arabian Ranches 2, Dubai"
"1,225,000 AED",877 sqft,Apartment,1,2,"Index Tower, DIFC, Dubai"
"1,500,000 AED","4,293 sqft",Villa,3,4,"Al Riffa, Ras Al Khaimah"
"1,150,000 AED","1,900 sqft",Villa,2,2,"Casa Viva, Serena, Dubai"
"2,975,000 AED","2,794 sqft",Apartment,4,5,"The Polo Residence, Meydan Avenue, Meydan, Dubai"
"540,000 AED",882 sqft,Apartment,1,2,"The Pulse, Dubai South (Dubai World Central), Dubai"
"26,000,000 AED","10,864 sqft",Villa,5,6,"Signature Villas Frond I, Signature Villas, Palm Jumeirah, Dubai"
"2,350,000 AED","3,280 sqft",Townhouse,4,4,"Marbella Village, Victory Heights, Dubai Sports City, Dubai"
"8,500,000 AED","6,092 sqft",Villa,7,7,"Mohamed Bin Zayed Centre, Mohamed Bin Zayed City, Abu Dhabi"
"515,000 AED",957 sqft,Apartment,1,2,"Building 38 to Building 107, Mediterranean Cluster, Discovery Gardens, Dubai"
"599,000 AED",885 sqft,Apartment,1,2,"Binghatti Stars, Dubai Silicon Oasis, Dubai"
"1,590,000 AED","1,192 sqft",Apartment,2,2,"Marina Arcade Tower, Dubai Marina, Dubai"
"1,300,000 AED","1,471 sqft",Apartment,2,2,"Churchill Residency Tower, Churchill Towers, Business Bay, Dubai"
"2,050,000 AED","1,969 sqft",Apartment,3,3,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"850,000 AED","1,452 sqft",Apartment,2,2,"Sherlock House 1, Sherlock House, Motor City, Dubai"
"2,600,000 AED","3,809 sqft",Villa,4,4,"Naseem, Mudon, Dubai"
"1,999,950 AED","1,875 sqft",Apartment,2,3,"Trident Oceanic, Oceanic, Dubai Marina, Dubai"
"650,000 AED",704 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,979,888 AED","1,047 sqft",Apartment,2,2,"Burj Royale, Downtown Dubai, Dubai"
"3,200,000 AED","3,971 sqft",Villa,4,5,"Whispering Pines, Earth, Jumeirah Golf Estates, Dubai"
Ask for price,"2,013 sqft",Townhouse,3,4,"Warsan Village, International City, Dubai"
Ask for price,"4,600 sqft",Duplex,4,6,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"1,075,000 AED","1,733 sqft",Apartment,3,3,"The Zen Tower, Dubai Marina, Dubai"
"3,850,000 AED","4,361 sqft",Villa,5,5,"Terra Nova, Arabian Ranches, Dubai"
"4,362,888 AED","1,192 sqft",Apartment,2,3,"Grande, Opera District, Downtown Dubai, Dubai"
"1,700,000 AED","4,700 sqft",Villa,5,7,"Al Mwaihat 3, Al Mwaihat, Ajman"
"2,699,999 AED","3,234 sqft",Villa,4,4,"Lila, Arabian Ranches 2, Dubai"
"4,850,000 AED","6,500 sqft",Villa,5,6,"The Centro, The Villa, Dubai"
"2,600,000 AED","1,329 sqft",Apartment,2,3,"The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai"
"1,850,000 AED",982 sqft,Apartment,1,2,"Boulevard Point, Downtown Dubai, Dubai"
"1,050,000 AED","2,700 sqft",Townhouse,4,4,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"1,300,000 AED","1,342 sqft",Apartment,2,3,"Amwaj 4, Amwaj, Jumeirah Beach Residence, Dubai"
"4,996,000 AED","1,621 sqft",Apartment,2,3,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"1,780,000 AED","1,200 sqft",Apartment,2,2,"Port de La Mer, La Mer, Jumeirah, Dubai"
"750,000 AED",426 sqft,Apartment,Studio,1,"Bay's Edge, Business Bay, Dubai"
"1,180,000 AED","1,240 sqft",Apartment,1,2,"The Sterling West, The Sterling, Business Bay, Dubai"
"1,500,000 AED","1,930 sqft",Apartment,2,3,"Rimal 4, Rimal, Jumeirah Beach Residence, Dubai"
"3,599,999 AED","3,100 sqft",Villa,3,3,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"3,200,000 AED","3,216 sqft",Villa,3,3,"Savannah 1, Savannah, Arabian Ranches, Dubai"
"1,500,000 AED","1,357 sqft",Apartment,1,2,"Boulevard Central Podium, Boulevard Central Towers, Downtown Dubai, Dubai"
"749,999 AED","1,492 sqft",Apartment,3,3,"Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis, Dubai"
"775,000 AED",905 sqft,Apartment,1,2,"Ocean Terrace, Marina Square, Al Reem Island, Abu Dhabi"
"1,900,000 AED","3,229 sqft",Villa,4,4,"Mira 4, Mira, Reem, Dubai"
"2,699,999 AED","3,600 sqft",Villa,5,5,"C Villas, Living Legends, Dubai"
"1,602,000 AED","1,349 sqft",Apartment,3,2,"Bayz by Danube, Business Bay, Dubai"
"1,434,000 AED",758 sqft,Apartment,1,2,"Port de La Mer, La Mer, Jumeirah, Dubai"
"1,200,000 AED","1,947 sqft",Townhouse,3,5,"La Rosa, Villanova, Dubai Land, Dubai"
"4,600,000 AED","4,283 sqft",Villa,5,5,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"17,888,888 AED","9,700 sqft",Villa,6,7+,"Sector E, Emirates Hills, Dubai"
"1,925,000 AED","2,627 sqft",Villa,3,3,"Al Reem 2, Al Reem, Arabian Ranches, Dubai"
"950,000 AED","1,143 sqft",Apartment,2,3,"Montrose B, Al Barsha South, Al Barsha, Dubai"
"730,000 AED",792 sqft,Apartment,1,2,"Damac Maison Cour Jardin, Business Bay, Dubai"
"1,400,000 AED","1,356 sqft",Apartment,2,3,"The Lofts East, The Lofts, Downtown Dubai, Dubai"
"3,800,000 AED","3,173 sqft",Penthouse,4,6,"Elite Residence, Dubai Marina, Dubai"
"1,270,000 AED",981 sqft,Apartment,1,2,"Dubai Creek Residence Tower 1 North, Dubai Creek Harbour (The Lagoons), Dubai"
"1,385,000 AED",960 sqft,Apartment,1,2,"Index Tower, DIFC, Dubai"
Ask for price,"15,000 sqft",Land,,,"Al Mamzar Villas, Al Mamzar, Deira, Dubai"
"1,175,000 AED","1,855 sqft",Townhouse,2,2,"Casa Dora, Serena, Dubai"
"7,000,000 AED","3,678 sqft",Penthouse,4,4,"Vida Residence Downtown, Downtown Dubai, Dubai"
"2,599,999 AED","3,225 sqft",Villa,4,4,"Samara, Arabian Ranches 2, Dubai"
"1,168,900 AED","1,156 sqft",Apartment,2,3,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"1,015,888 AED","1,159 sqft",Townhouse,2,3,"Urbana, EMAAR South, Dubai South (Dubai World Central), Dubai"
"2,350,000 AED","2,689 sqft",Townhouse,3,4,"Gardenia Townhomes, wasl gate, Dubai"
"11,700,000 AED","13,430 sqft",Villa,6,7,"Golf Place, Dubai Hills Estate, Dubai"
"20,000,000 AED","5,803 sqft",Villa,3,4,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"900,000 AED","1,400 sqft",Villa,3,,"Mimosa, Akoya, Dubai"
"1,200,000 AED",778 sqft,Apartment,1,2,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"3,375,000 AED","5,297 sqft",Penthouse,3,4,"Golden Mile 5, Golden Mile, Palm Jumeirah, Dubai"
"1,550,000 AED",775 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"680,000 AED",900 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"290,000 AED","1,200 sqft",Apartment,2,2,"Terrace Apartments, Yasmin Village, Ras Al Khaimah"
"4,500,000 AED","1,838 sqft",Apartment,3,3,"The Residences 5, The Residences, Downtown Dubai, Dubai"
"2,550,000 AED","2,518 sqft",Apartment,3,4,"Al Yass Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"850,000 AED","1,083 sqft",Apartment,2,2,"Afnan 5, Midtown, Dubai Production City (IMPZ), Dubai"
"13,770,000 AED","9,212 sqft",Villa,7,7+,"Parkway Vistas, Dubai Hills Estate, Dubai"
"3,495,000 AED","3,334 sqft",Townhouse,4,6,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"1,200,000 AED",778 sqft,Apartment,1,2,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"3,375,000 AED","5,297 sqft",Penthouse,3,4,"Golden Mile 5, Golden Mile, Palm Jumeirah, Dubai"
"1,550,000 AED",775 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"680,000 AED",900 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,356,000 AED",818 sqft,Apartment,1,1,"Port de La Mer, La Mer, Jumeirah, Dubai"
"3,100,000 AED","3,295 sqft",Villa,4,5,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"7,500,000 AED","349,998 sqft",Whole Building,,,"Shabia, Mussafah, Abu Dhabi"
"2,350,000 AED","2,689 sqft",Townhouse,3,4,"Gardenia Townhomes, wasl gate, Dubai"
"1,015,888 AED","1,159 sqft",Townhouse,2,3,"Urbana, EMAAR South, Dubai South (Dubai World Central), Dubai"
"13,770,000 AED","9,212 sqft",Villa,7,7+,"Parkway Vistas, Dubai Hills Estate, Dubai"
"3,550,000 AED","3,272 sqft",Apartment,3,4,"Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai"
"1,620,000 AED","2,355 sqft",Townhouse,4,5,"Elan, Tilal Al Ghaf, Dubai"
"629,000 AED","1,051 sqft",Apartment,1,1,"Sherlock House 2, Sherlock House, Motor City, Dubai"
"2,550,000 AED","2,518 sqft",Apartment,3,4,"Al Yass Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"850,000 AED","1,083 sqft",Apartment,2,2,"Afnan 5, Midtown, Dubai Production City (IMPZ), Dubai"
"290,000 AED","1,200 sqft",Apartment,2,2,"Terrace Apartments, Yasmin Village, Ras Al Khaimah"
"4,500,000 AED","1,838 sqft",Apartment,3,3,"The Residences 5, The Residences, Downtown Dubai, Dubai"
"3,495,000 AED","3,334 sqft",Townhouse,4,6,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"1,673,000 AED","4,068 sqft",Land,,,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nadd Al Sheba, Dubai"
"2,700,000 AED","4,897 sqft",Villa,3,4,"Western Residence South, Falcon City of Wonders, Dubai"
"300,000 AED",721 sqft,Apartment,1,2,"Italy Cluster, International City, Dubai"
Ask for price,"3,818 sqft",Townhouse,5,7,"Al Rahmaniya 1, Al Rahmaniya, Sharjah"
"630,000 AED",770 sqft,Apartment,1,2,"Shamal Residences, Jumeirah Village Circle, Dubai"
"1,600,000 AED","2,456 sqft",Townhouse,3,3,"Al Reem 3, Al Reem, Arabian Ranches, Dubai"
"380,000 AED",456 sqft,Apartment,Studio,1,"Al Jawhara Residences, Jumeirah Village Triangle, Dubai"
"2,700,000 AED","4,897 sqft",Villa,3,4,"Western Residence South, Falcon City of Wonders, Dubai"
"630,000 AED",770 sqft,Apartment,1,2,"Shamal Residences, Jumeirah Village Circle, Dubai"
"5,170,000 AED","1,959 sqft",Apartment,4,4,"La Vie, Jumeirah Beach Residence, Dubai"
"18,040,888 AED","5,253 sqft",Apartment,4,5,"IL Primo, Opera District, Downtown Dubai, Dubai"
"2,000,000 AED","1,486 sqft",Apartment,2,3,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"301,400 AED","3,014 sqft",Land,,,"Al Zaheya Gardens, Al Zahya, Ajman"
"1,673,000 AED","4,068 sqft",Land,,,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nadd Al Sheba, Dubai"
"5,999,990 AED","4,945 sqft",Villa,4,5,"Marbella, Mina Al Arab, Ras Al Khaimah"
"7,200,000 AED","1,937 sqft",Apartment,2,3,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"1,039,100 AED","2,698 sqft",Apartment,2,4,"Asas Tower, Al Khan Lagoon, Al Khan, Sharjah"
"5,700,888 AED","1,861 sqft",Apartment,3,4,"Grande, Opera District, Downtown Dubai, Dubai"
"830,000 AED",687 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"4,200,000 AED","3,492 sqft",Villa,3,2,"Zulal 3, Zulal, The Lakes, Dubai"
"300,000 AED",721 sqft,Apartment,1,2,"Italy Cluster, International City, Dubai"
"900,000 AED","1,208 sqft",Villa,3,3,"Aknan Villas, Amazonia, Akoya, Dubai"
"1,120,000 AED","1,305 sqft",Apartment,2,2,"Al Arta 2, Al Arta, Greens, Dubai"
"4,000,000 AED","5,800 sqft",Villa,6,,"Jumeirah Park Homes, Jumeirah Park, Dubai"
"1,620,000 AED","2,355 sqft",Townhouse,4,5,"Elan, Tilal Al Ghaf, Dubai"
"3,350,000 AED","3,500 sqft",Villa,3,4,"Legacy, Jumeirah Park, Dubai"
Ask for price,"2,631 sqft",Apartment,3,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"2,350,000 AED","1,447 sqft",Apartment,2,3,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,350,000 AED","1,950 sqft",Townhouse,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"12,000,000 AED","3,142 sqft",Apartment,3,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"3,500,000 AED","1,824 sqft",Apartment,3,4,"Boulevard Point, Downtown Dubai, Dubai"
"749,888 AED",482 sqft,Apartment,1,2,"Collective, Dubai Hills Estate, Dubai"
"8,000,000 AED","2,704 sqft",Apartment,4,4,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"2,900,000 AED","3,063 sqft",Villa,3,4,"Regional, Jumeirah Park, Dubai"
"5,200,000 AED","24,600 sqft",Land,,,"District 15, Jumeirah Village Circle, Dubai"
"860,000 AED",929 sqft,Apartment,1,2,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"1,799,999 AED","2,202 sqft",Townhouse,3,3,"Reem Community, Arabian Ranches 2, Dubai"
"730,000 AED","1,089 sqft",Apartment,2,2,"Icon Tower 1, Lake Almas West, Jumeirah Lake Towers, Dubai"
"880,000 AED",884 sqft,Apartment,1,2,"The Lofts East, The Lofts, Downtown Dubai, Dubai"
"1,449,999 AED","1,881 sqft",Townhouse,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"4,950,000 AED","3,229 sqft",Apartment,3,4,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi"
"950,000 AED","1,095 sqft",Apartment,2,2,"Al Alka 3, Al Alka, Greens, Dubai"
"400,000 AED",915 sqft,Apartment,1,2,"Marjan Island Resort and Spa, Al Marjan Island, Ras Al Khaimah"
"1,900,000 AED","5,000 sqft",Villa,5,7,"Al Mwaihat 1, Al Mwaihat, Ajman"
"5,500,000 AED","2,185 sqft",Apartment,3,4,"The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"360,000 AED",432 sqft,Apartment,Studio,1,"Roxana Residences, Jumeirah Village Circle, Dubai"
"1,775,000 AED","2,744 sqft",Villa,3,4,"Springs 9, The Springs, Dubai"
"1,799,999 AED","1,960 sqft",Apartment,2,4,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"18,000,000 AED","8,207 sqft",Villa,5,5,"St. Regis, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"1,975,000 AED","2,219 sqft",Villa,2,2,"Palmera 3, Palmera, Arabian Ranches, Dubai"
"3,800,000 AED","2,000 sqft",Apartment,3,4,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"880,000 AED","4,200 sqft",Duplex,3,4,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"25,000,000 AED","7,500 sqft",Villa,6,6,"Signature Villas Frond C, Signature Villas, Palm Jumeirah, Dubai"
"279,000 AED","1,399 sqft",Apartment,2,3,"Terrace Apartments, Yasmin Village, Ras Al Khaimah"
"1,300,000 AED","2,152 sqft",Townhouse,3,4,"Harmony, Tilal Al Ghaf, Dubai"
"4,016,000 AED","2,924 sqft",Apartment,2,2,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"2,200,000 AED","2,540 sqft",Villa,3,3,"Alma 1, Alma, Arabian Ranches, Dubai"
"5,200,000 AED","24,600 sqft",Land,,,"District 15, Jumeirah Village Circle, Dubai"
"880,000 AED","4,200 sqft",Duplex,3,4,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"1,449,999 AED","1,881 sqft",Townhouse,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,799,999 AED","2,202 sqft",Townhouse,3,3,"Reem Community, Arabian Ranches 2, Dubai"
"730,000 AED","1,089 sqft",Apartment,2,2,"Icon Tower 1, Lake Almas West, Jumeirah Lake Towers, Dubai"
"880,000 AED",884 sqft,Apartment,1,2,"The Lofts East, The Lofts, Downtown Dubai, Dubai"
"400,000 AED",915 sqft,Apartment,1,2,"Marjan Island Resort and Spa, Al Marjan Island, Ras Al Khaimah"
"1,900,000 AED","5,000 sqft",Villa,5,7,"Al Mwaihat 1, Al Mwaihat, Ajman"
"1,799,999 AED","1,960 sqft",Apartment,2,4,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"1,975,000 AED","2,219 sqft",Villa,2,2,"Palmera 3, Palmera, Arabian Ranches, Dubai"
"18,000,000 AED","8,207 sqft",Villa,5,5,"St. Regis, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"860,000 AED",929 sqft,Apartment,1,2,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"5,500,000 AED","2,185 sqft",Apartment,3,4,"The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
